Ime,Priljubljenost,Cena [£],Vrsta,Podjetje,Avtor,Jezik,Število vzorcev,Število strani,Raven znanja 
X Stitch Garden Tank Top 15-195,1639,3.70,Tops,Independent Designer,Pattern Paradise,English,1,,Beginner
Colour Pop Chameleon,1640,4.00,Toys,Independent Designer,Irene Strange,English,1,11,Intermediate
Cloudburst,1641,2.96,Accessories,Independent Designer,CJ Brady Designs,English,1,,Intermediate
Ebony the Little Doll,1642,0.00,Toys,Independent Designer,Cara Engwerda,English,1,8,Intermediate
Anchor pattern,1643,2.22,Toys,Independent Designer,Ludasamigurumi,English,1,8,Intermediate
The Chelsea Tote,1644,1.00,Accessories,Independent Designer,Ella Burch,English,1,,Beginner
Proud as a Peacock,1645,4.44,Accessories,Independent Designer,Lily Go,English,1,1,Beginner
Amour Blanket - Free Crochet Pattern For Home in Paintbox Yarns Wool Mix Aran,1646,0.00,Blankets,Paintbox Yarns,,English,1,6,Intermediate
Easter Bunny Garland,1647,2.22,Homeware,Independent Designer,Rupinder  Kaur,English,1,16,Beginner
Crochet Poppy Brooch,1648,2.50,Accessories,Independent Designer,Catherine Drabble,English,1,,Intermediate
Christmas Tree Gonk,1649,2.50,Homeware,Independent Designer,HookandMarvellous,English,1,7,Intermediate
Cuddly Elephant,1650,0.00,Toys,Independent Designer,Ternura Amigurumi,English,1,10,Intermediate
Club Penguin,1651,1.97,Toys,Independent Designer,Melissa's Crochet Patterns,English,1,,Intermediate
Dinosaur Sunhat,1652,3.25,Accessories,Independent Designer,The Puffling,English,1,6,Beginner
Knit-Look Half Moon Crochet Shawl. English and German Pattern,1653,2.11,Accessories,Independent Designer,Oksik,English|German,1,10,Beginner
Cable Twist Hat in Caron Simply Soft - Downloadable PDF,1654,0.00,Hats,Caron,,English,1,2,Intermediate
Luminance Blanket,1655,3.75,Homeware,Independent Designer,Ivy and Mabel,English,1,8,Intermediate
"539 Girls dress, sundress, jumper, newborn to 12 yrs.",1656,3.47,Dresses,Independent Designer,Emi Harrington,English,1,,
Cute Bunny Comforter / Lovey,1657,0.00,Toys,Independent Designer,Laura Tegg,English,1,6,Intermediate
Star Amigurumi,1658,3.10,Toys,Independent Designer,RaffamusaDesigns,English,1,,Intermediate
Buford the Bloodhound,1659,3.11,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Baby Blanket Crochet Pattern 477,1660,5.29,Homeware,Independent Designer,ShiFio's Patterns,English,1,5,Intermediate
Beginners Baby Beanie,1661,1.00,Hats,Independent Designer,Kuggles Knitting Patterns,English,1,1,Beginner
Cosy Baby Cardigan in Red Heart Detroit - LW4251EN,1662,0.00,Cardigans,Red Heart,,English,1,,Intermediate
Farmhouse Square Blanket,1663,3.70,Homeware,Independent Designer,Deborah O'Leary,English,1,7,Beginner
Bunny Baby Lovey,1664,2.99,Toys,Independent Designer,Burgundy & Blush,English,1,,Beginner
Tractor Booties,1665,3.41,Booties,Independent Designer,Caroline Brooke,English,1,11,Intermediate
From the Middle Baby Blanket in Bernat Baby Blanket,1666,0.00,Blankets,Bernat,,English,1,1,Intermediate
Holly the Unicorn,1667,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Totoro - My Dearest Neighbor,1668,3.70,Toys,Independent Designer,Petr Medek,English,1,60,Intermediate
Maria,1669,6.99,Homeware,Independent Designer,AnaMoraisSoares,Dutch|English|German|Spanish,1,138,Intermediate
Classic Granny Square Crochet Throw in Caron One Pound - Downloadable PDF,1670,0.00,Granny squares,Caron,,English|French,1,2,Beginner
Animal Baby Blanket - Froggin' About,1671,2.95,Homeware,Independent Designer,Helen Free,English,1,24,Intermediate
Net Cardigan in Adriafil Kid Mohair and Odeon - Downloadable PDF,1672,0.00,Cardigans,Adriafil,,English,1,1,
Pomeranian dog crochet,1673,4.40,Toys,Independent Designer,Ambercraftstore,Dutch|English|French,1,33,Intermediate
Erin Amigurumi Doll,1674,5.50,Toys,Independent Designer,Smiley Crochet Things,English,1,,Intermediate
Sleepy sloth curtain tie back,1675,3.70,Homeware,Independent Designer,Thoresby Cottage,English,1,4,Beginner
Solid Hexagons Blanket,1676,3.62,Homeware,Independent Designer,RaffamusaDesigns,English,1,,Intermediate
Sunshine Festival Crop Top,1677,3.70,Tops,Independent Designer,The Happy Unraveler,English,1,4,Intermediate
🎀 Scrump-Inspired Amigurumi Pattern – Digital PDF 🎀,1678,2.96,Toys,Independent Designer,Danielle Magalhães,English,1,17,Beginner
Diamond V Neck Top,1679,3.70,Tops,Independent Designer,Nicole Riley,English,1,,Intermediate
Lullaby Granny Square Baby Blanket in Caron One Pound - Downloadable PDF,1680,0.00,Granny squares,Caron,Marilyn Losee,English,1,3,Beginner
Moorland Poncho,1681,3.50,Ponchos,Independent Designer,Pearson Handmade,English,1,6,Intermediate
Cosy Jacket for Baby,1682,2.49,Cardigans,Independent Designer,UK Craft Store,English,1,4,Intermediate
Calico Cat Amigurumi,1683,0.00,Toys,Independent Designer,Amanda Maciel,English,1,,Beginner
Spring Into Easter,1684,7.95,Homeware,Independent Designer,Rosina Plane,English,1,47,Intermediate
Baby Wolf Amigurumi,1685,0.00,Toys,Independent Designer,Amanda Maciel,English,1,,Beginner
Baby Girl Slouchy Hat,1686,3.63,Hats,Independent Designer,Vanessa cayton,English,1,,Beginner
Elephant Newborn Beanie,1687,1.63,Accessories,Independent Designer,Crafty Creations,English,1,3,Beginner
Meara Fisherman Sweater,1688,2.85,Jumpers,Independent Designer,Olivia Kent,English,1,,Intermediate
Hot Dog Dachshund Amigurumi,1689,2.59,Toys,Independent Designer,HookingCuteCreations,English,1,5,Beginner
Islamic crochet prayer hat,1690,3.26,Accessories,Independent Designer,Umm Umar,English,1,6,Beginner
Crochet Cocoon in Caron x Pantone - Downloadable PDF,1691,0.00,Cardigans,Caron,,English,1,3,Beginner
Stitch,1692,3.70,Toys,Independent Designer,My First Buddies,English,1,,Intermediate
Woof!,1693,3.95,Homeware,Independent Designer,Rosina Plane,English,1,14,Intermediate
Roma Lavinia Skirt,1694,0.00,Skirts,Independent Designer,Krpena Lutkica - Rag Doll,English,1,8,Intermediate
Papaya,1695,2.96,Toys,Independent Designer,Creative Needle,English,1,4,Beginner
A Simple Twist of Fate,1696,2.50,Hats,Independent Designer,High Fibre Shop,English,1,5,Intermediate
Granny Cardigan,1697,3.00,Cardigans,Independent Designer,BabyCrochetDesigns,English,1,34,Beginner
Sterling the Star,1698,0.00,Toys,Independent Designer,Llama Lou Crochet,English,1,,Beginner
Sinnestriel,1699,4.31,Accessories,Independent Designer,Reimy Johanna Designs,English,1,14,Intermediate
"Madux James, a Legacy Square",1700,0.00,"Madux James, a Legacy Square",Independent Designer,A Yarn of Serendipity,English,1,14,Intermediate
Peach Flower Hat,1701,2.96,Baby Hats,Independent Designer,ViTalina Craft,English,1,3,Advanced
Georgie Top,1702,3.70,Tops,Independent Designer,Billow Design,English|French,1,8,Intermediate
Bonnie Bluebells,1703,3.60,Homeware,Independent Designer,The Crafty Therapist,English,1,5,Intermediate
Crochet Summer Top and Skirt Set,1704,5.18,Tops,Independent Designer,KnitcroAddict,English,1,13,Intermediate
Cable Tryst Throw,1705,4.07,Homeware,Independent Designer,Lisa van Klaveren,English,1,,Beginner
Fairy Tale Cat Cave,1706,4.00,Fairy Tale Cat Cave,Independent Designer,Sarah Taylor,English,1,12,Intermediate
Twin Set Cloud Cardigan in Adriafil Navy - Downloadable PDF,1707,0.00,Cardigans,Adriafil,,English,1,1,
Baby Grey Hat and Cardigan,1708,1.09,Cardigans,Independent Designer,TatjanaBoutique,English,1,6,Intermediate
Crochet tote bag Amelie,1709,4.92,Accessories,Independent Designer,I Love Create,English,1,,Beginner
Franny Granny Child Cardigan,1710,8.25,Cardigans,Independent Designer,Hannah Cross,English,1,22,Intermediate
Pixie the Robot in Lion Brand Wool Ease - M22280WE - Downloadable PDF,1711,0.00,Toys,Lion Brand,Lion Brand,English,1,7,Beginner
Primrose Blouse,1712,4.44,Tops,Independent Designer,Michelle Ferguson,English,1,,Intermediate
Minecraft Wolf Dog Crochet Pattern,1713,3.80,Toys,Independent Designer,Kristine Kuluka,English,1,11,Intermediate
Summertime,1714,2.95,Homeware,Independent Designer,Rosina Plane,English,1,34,Intermediate
Bell Dress,1715,3.97,Dresses,Independent Designer,Mon Petit Violon,English,1,3,Intermediate
Popover Poncho,1716,4.07,Ponchos,Independent Designer,Lisa van Klaveren,English,1,,Beginner
Seaside wreath and bunting,1717,15.00,Homeware,Independent Designer,KATE EASTWOOD,English,1,,Intermediate
Sidmouth Scarf,1718,3.50,Accessories,Independent Designer,The Crochet Mill,English,1,,Intermediate
Blush Blossom Baby Blanket,1719,4.81,Homeware,Independent Designer,Apple Blossom Dreams,English,1,,Intermediate
Tree House,1720,3.70,Homeware,Independent Designer,Katya Novikova,Diagrams/chartsonly|suitableforalllanguages|English,1,,Intermediate
Seaside Ripple Crochet Afghan in Caron One Pound - Downloadable PDF,1721,0.00,Blankets,Caron,,English,1,1,Beginner
Crochet tank top,1722,5.17,Tops,Independent Designer,Crochetlin,English,1,19,Beginner
Coral Snake Toy in Caron Simply Soft and Simply Soft Brites - Downloadable PDF,1723,0.00,Toys,Caron,Deb Richey,English,1,3,Beginner
Heart amigurumi,1724,0.00,Amigurumi,Independent Designer,Mignon Crochet,English|French,1,12,Beginner
Tulipan net,1725,6.04,Accessories,Independent Designer,Sidsel Sangild,Danish|English,1,6,Intermediate
Essential Crochet Recycled Home Ebook - Free Crochet Patterns for Home by Paintbox Yarns,1726,0.00,Essential Crochet Recycled Home Ebook - Free Crochet Patterns for Home by Paintbox Yarns,Paintbox Yarns,Paintbox Yarns,English,,14,Beginner
Pinafore Sleeveless Dress,1727,3.00,Dresses,Independent Designer,ThomasinaC,English,1,,Intermediate
Monkey Baby Booties,1728,3.70,Booties,Independent Designer,Sara Ayers,English,1,4,Intermediate
I Heart My Dress and Beret in Patons Beehive Baby Sport - Downloadable PDF,1729,0.00,Dresses,Patons US,,English,2,5,Intermediate
Crochet Poppy flowers,1730,2.50,Homeware,Independent Designer,T Jaik,English,1,,Intermediate
Glacier Blue Beanie,1731,3.00,Hats,Independent Designer,The Lonely Sea/Heather Corcoran,English,1,4,Beginner
Stevee Cardigan,1732,2.22,Cardigans,Independent Designer,Sincerely Pam,English,1,,Beginner
Dutch rabbit,1733,3.88,Toys,Independent Designer,Katalin Gálusz,English,1,21,Intermediate
Hug Me Pocket Scarf,1734,1.50,Accessories,Independent Designer,Luna Crochet Designs,English,1,8,Beginner
Easy Crochet Beach Dress,1735,2.78,Dresses,Independent Designer,Little Golden Nook,English,1,3,Beginner
Cara Dishcloth,1736,2.59,Homeware,Independent Designer,ChristaCoDesign,English,1,5,Beginner
Baby Elephants,1737,3.70,Homeware,Independent Designer,Gleeful Crocheting,English,1,,Intermediate
Handy Basket in Bernat Maker Home Dec - Downloadable PDF,1738,0.00,Decorations,Bernat,,English,1,1,Beginner
Loaf Cat  No Sew Bundle 5 in 1 crochet,1739,2.22,Loaf Cat  No Sew Bundle 5 in 1 crochet,Independent Designer,YarnWondersTB,English,1,,Beginner
Rainforest Scarf,1740,4.44,Accessories,Independent Designer,Liudmyla Hefny,English,1,16,Intermediate
1001 4Ply Briefs,1741,4.80,1001 4Ply Briefs,Independent Designer,SeyhallCrochetDesign,English,1,33,Intermediate
Granny Coat,1742,2.95,Cardigans,Independent Designer,Littlejohn's Yarn,English,1,3,Intermediate
Baby Jacket Baby Dress Knitting and Crochet Baby Outfit,1743,6.40,Dresses,Independent Designer,Elena Mitchell,English,1,122,Beginner
Giant Jellyfish,1744,3.70,Toys,Independent Designer,Diana Bengis,English,1,,Beginner
Lace pattern baby hat,1745,2.75,Hats,Independent Designer,Seasonknits,English,1,3,Intermediate
Melon Pops Cushion,1746,3.22,Cushions,Independent Designer,MandyO,English,1,18,Intermediate
Granny Flexi Hexi Longline Cardi,1747,7.00,Cardigans,Independent Designer,Melu Crochet,English,1,76,Intermediate
Eyeglass Holder Panda,1748,1.10,Homeware,Independent Designer,Electric Eye Crochet,English,1,,Beginner
Aureole Mandala,1749,0.00,Decorations,Independent Designer,A Yarn of Serendipity,English,,21,Intermediate
Long Loop Stripe Sweater,1750,4.80,Sweaters,Independent Designer,SeyhallCrochetDesign,English,1,15,Intermediate
Vanilla Cloud Poncho and Hat Set,1751,4.44,Baby Hats,Independent Designer,ViTalina Craft,English,1,13,Advanced
Ley Lines,1752,3.70,Homeware,Independent Designer,Draiguna,English,1,16,Intermediate
Kahlo Crop Top - Free Crochet Pattern For Women in Paintbox Yarns Cotton DK,1753,0.00,Tops,Paintbox Yarns,Katie Jones,English,1,6,Intermediate
Hoodie in Bernat Handicrafter Cotton Solids,1754,0.00,Sweaters,Bernat,,English,1,,
Toota's Tractor,1755,2.92,Toys,Independent Designer,Jan McKinnon,English,1,,Intermediate
Short Cardigan in King Cole Galaxy DK - 4427 - Downloadable PDF,1756,2.99,Cardigans,King Cole,,English,2,4,Intermediate
Dennis the Donkey - UK Terminology - Amigurumi,1757,2.50,Toys,Independent Designer,Little Green Bear,English,1,11,Intermediate
"Tabby Kitten Crochet Pattern, Striped Cat Amigurumi",1758,4.74,Toys,Independent Designer,Firefly Crochet,English,1,18,Intermediate
Gingham Crochet Blanket,1759,2.96,Homeware,Independent Designer,Ouma Ralie,English,1,,Intermediate
Rose Granny Square,1760,1.47,Homeware,Independent Designer,Roseanna Murray,English,1,3,Beginner
Octavia the Octopus in Lily Sugar 'n Cream Solids - Downloadable PDF,1761,0.00,Decorations,Lily Sugar 'n Cream,,English,2,2,Beginner
Crochet skirt,1762,2.22,Crochet skirt,Independent Designer,Stacia Whorms,English,1,7,Beginner
Sweet Baby Hoodie in Bernat Baby Coordinates Solids,1763,0.00,Dresses,Bernat,,English,2,,
Summer raffia clutch bag,1764,2.95,Accessories,Independent Designer,Anna Ushakova,English|German,1,31,Beginner
Mermaid Kawaii Cuddler™,1765,4.26,Toys,Independent Designer,3amgracedesigns,English,1,,Beginner
Enzo the Teddy Bear - Free Toy Crochet Pattern For Christmas in Paintbox Yarns Cotton Aran by Paintbox Yarns,1766,0.00,Toys,Paintbox Yarns,Ilaria Caliri,English,1,5,Beginner
Purple baby dress,1767,3.80,Dresses,Independent Designer,Paintcrochet,English,1,,Intermediate
Bear Toy in Hayfield Baby Chunky - 4836 - Downloadable PDF,1768,3.85,Toys,Hayfield,,English,1,4,Intermediate
Textured Stripe Baby Blanket,1769,3.50,Homeware,Independent Designer,Sophie Stitches,English,1,10,Beginner
Flower Power Beach Bag in Bernat Handicrafter Cotton Solids,1770,0.00,Accessories,Bernat,,English,1,,
Sleeved circle vest,1771,2.95,Waistcoats,Independent Designer,Maz Kwok,English,1,18,Intermediate
Lily round,1772,4.37,Homeware,Independent Designer,lenamasterica,English|Russian,1,17,Intermediate
Scrapbusting Granny Square Jumper,1773,5.50,Sweaters,Independent Designer,Craft and a Cuppa,English,1,10,Beginner
Ellie shrug,1774,3.88,Boleros,Independent Designer,Ana Pizzo,English,1,,Beginner
Peppa Pig Amigurumi,1775,0.00,Toys,Independent Designer,Sabrina Boscolo,English,1,4,Intermediate
Sleep Tight Teddy Bear Blanket / Lovey,1776,5.92,Homeware,Independent Designer,Sweet Potato 3,English,1,8,Intermediate
By The Beach Wrap - Free Shawl Crochet Pattern for Women in Paintbox Yarns Cotton Mix DK by Paintbox Yarns,1777,0.00,Shawls,Paintbox Yarns,Paintbox Yarns,English,1,4,Intermediate
LIGHT AQUA GREEN CROCHET SHELL STITCH TOP,1778,4.44,Tops,Independent Designer,crochetbykiridesigns,English,1,9,Intermediate
Fisherman's Aran Isles Scarf,1779,3.93,Accessories,Independent Designer,Many Creative Gifts,English,1,,
Dragon,1780,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Baby Sun Hat,1781,0.00,Accessories,Independent Designer,Sara Bygvraa,English,1,,Intermediate
Spirals Throw in Caron One Pound - Downloadable PDF,1782,0.00,Blankets,Caron,Marilyn Losee,English,1,2,Intermediate
Flower and Shells Headband,1783,0.00,Headbands,Independent Designer,Nuria Pastor,English,,,Intermediate
Spoke Flower Blanket,1784,0.00,Homeware,Independent Designer,The Crochet Fix,English,1,,Beginner
Toadstools & Mushrooms,1785,0.00,Toys,Independent Designer,Dennis Marquez,English,1,5,Intermediate
Granny Square Fabric Dress,1786,0.00,Dresses,Independent Designer,Mon Petit Violon,English,1,4,Intermediate
Smurf - Puffo,1787,0.00,Toys,Independent Designer,Valery Lab,English,1,3,Intermediate
Flower Patch Poncho - Free Crochet Pattern in Paintbox Yarns Wool Mix Chunky,1788,0.00,Ponchos,Paintbox Yarns,Katie Jones,English,1,6,Intermediate
Seafoam Shirt - Free Top Crochet Pattern For Women in Paintbox Yarns Cotton 4 ply by Paintbox Yarns,1789,0.00,Tops,Paintbox Yarns,Paintbox Yarns,English|German,1,4,Beginner
Skull Tote Bag,1790,0.00,Accessories,Independent Designer,hugs.in.a.stitch_ke,English,1,8,Intermediate
Beautiful Baby Blanket in Bernat Baby,1791,0.00,Blankets,Bernat,,English,1,,
By Your Side Basket Bag - Free Crochet Pattern for Women in Paintbox Yarns Recycled Crafty Pots by Paintbox Yarns,1792,0.00,By Your Side Basket Bag - Free Crochet Pattern for Women in Paintbox Yarns Recycled Crafty Pots by Paintbox Yarns,Paintbox Yarns,Paintbox Yarns,English,1,3,Intermediate
"""Sammy the Snail"" - Amigurumi Crochet Pattern For Toys in Paintbox Yarns Simply DK - DK-CRO-TOY-006",1793,0.00,Toys,Paintbox Yarns,Alison North,English,1,5,Intermediate
DAISY GRANNY Square,1794,0.00,Cushions,Independent Designer,Barbara Summers,English,1,6,Beginner
Coaster-heart,1795,0.00,Homeware,Independent Designer,Anna Kuznietsova,English,1,10,Beginner
4am Bralette - Free Crochet Pattern for Women in Paintbox Yarns Cotton DK - Downloadable PDF,1796,0.00,Other,Paintbox Yarns,,English,1,10,Intermediate
Vintage Vibes Beanie,1797,0.00,Accessories,Independent Designer,The Crochet Fix,English,1,,Intermediate
Rose Set in Adriafil Cheope - Downloadable PDF,1798,0.00,Tops,Adriafil,,English,2,1,
Halloween Wreath in Scheepjes Catona - Downloadable PDF,1799,0.00,Halloween Wreath in Scheepjes Catona - Downloadable PDF,Scheepjes,,English,1,12,Advanced Beginner
